id n0 n1 x y z
88 1 1 17.66423318 25.65608061 11.56242214
89 1 1 18.42529367 29.88340452 16.90647392
90 1 1 18.41270544 30.39958673 17.67925677
91 1 1 18.38395233 31.40266437 19.15368498
92 1 1 18.39529408 30.89739214 18.40148620
93 1 1 18.36701169 31.79502343 19.95524946
94 1 1 18.35874116 32.14941697 20.81190567
95 1 1 18.58668346 32.85147097 21.37745062
96 1 1 18.31038715 32.33142263 21.79478337
97 1 1 18.77824838 33.24098670 22.01857934
98 1 1 15.96933664 20.39750471 8.00216205
99 1 1 16.26343480 20.37988882 7.07110304
100 1 1 16.27399879 21.12691968 7.70627626
101 1 1 16.13784594 21.11361058 8.54289611
102 1 1 16.36811404 21.84009740 8.96560470
103 1 1 16.61002032 22.54202271 9.39075737
104 1 1 17.10031826 23.72864379 10.56257850
105 1 1 16.85645570 23.18139094 9.94091083
106 1 1 18.30730789 30.46690597 19.14300282
107 1 1 18.18913263 31.31610884 20.70131253
108 1 1 18.24891287 30.91933568 19.88850574
109 1 1 18.12225255 31.57352492 21.52888442
110 1 1 18.07117346 31.83698705 22.42085036
111 1 1 18.42402961 32.72511447 22.57012198
112 1 1 18.09407800 32.13861215 23.19914236
113 1 1 18.53060751 32.94930452 23.35614962
114 1 1 15.52331832 18.99733903 8.02241935
115 1 1 15.79910546 18.93385331 7.18797787
116 1 1 15.87002771 19.71042657 7.55535885
117 1 1 15.66356899 19.67352158 8.47442805
118 1 1 15.87252475 20.35116619 8.92866226
119 1 1 16.12980492 21.02911072 9.40698268
120 1 1 16.68566086 22.38371279 10.24278640
121 1 1 16.40596271 21.71251651 9.81510624
122 1 1 18.13095257 30.46739976 20.63246585
123 1 1 17.91934506 30.98756064 22.23372982
124 1 1 18.02220173 30.72194959 21.43159232
125 1 1 17.83433016 31.24612212 23.05341285
126 1 1 17.81229173 31.55558978 23.83562000
127 1 1 18.19007212 32.43136180 23.98695326
128 1 1 17.83961432 31.80128203 24.60287214
129 1 1 18.27297263 32.55345142 24.78461036
130 1 1 15.22201275 18.28723791 8.42228594
131 1 1 15.46293366 18.23485602 7.54786223
132 1 1 15.37595020 18.92275744 8.94433266
133 1 1 15.62686669 19.59986917 9.39126875
134 1 1 16.22796343 20.90006448 10.27981960
135 1 1 15.91720474 20.25297482 9.84579257
136 1 1 17.87457948 30.09534776 22.11889061
137 1 1 17.61550836 30.64817481 23.69335988
138 1 1 17.73392109 30.35492344 22.89641748
139 1 1 17.53993858 30.91627623 24.47943087
140 1 1 17.55724628 31.24115695 25.23440290
141 1 1 17.95425263 32.03940692 25.43862198
142 1 1 14.94565218 17.60481199 8.79879824
143 1 1 15.15032459 17.53883163 7.91480783
144 1 1 15.09602058 18.16538676 9.38294844
145 1 1 15.38773967 18.85466517 9.85038870
146 1 1 15.72496814 19.52054586 10.31255776
147 1 1 17.39953473 30.02316136 24.32693498
148 1 1 17.56090409 29.73880845 23.51996916
149 1 1 17.28464179 30.30191759 25.13919317
150 1 1 17.30437628 30.71271629 25.84144974
151 1 1 17.66148958 31.51741419 26.07439511
152 1 1 14.58577315 16.15594543 8.62932864
153 1 1 14.91021184 16.01870769 7.80566932
154 1 1 14.87817390 16.83568313 8.21336788
155 1 1 14.69671091 16.93821401 9.05612849
156 1 1 14.79838533 17.37293712 9.77586986
157 1 1 15.51056864 18.78029014 10.74605839
158 1 1 15.12947210 18.09788466 10.26584586
159 1 1 17.37295296 29.12976141 24.16283632
160 1 1 17.02707657 29.73429526 25.85204696
